,CDI,CDI Purpose,,CDI Outcome,CDI Outcome Measure,Follow-up? (Y/N),Direct or Indirect?,Bucket?,Notes,Aaron,,Kenshata,,Working Examples for Buckets
40,CHADS<sub>2</sub> Score for Atrial Fibrillation Stroke Risk,Stroke risk in AFib.,1,"Assess the predictive value of classification schemes that estimate stroke risk in patients with AF, specifically CHADS2 index","outcome definition: hospitalization for ischemic stroke as determined by Medicare claims (Outcomes Assessment - Page 2866)

*To identify stroke from the MEDPAR data, we used the following ICD-9-CM codes in the primary position: 434 (occlusion of cerebral arteries), 435 (transient cerebral ischemia), and 436 (acute, but ill-defined, cerebrovascular disease). We did not use the ICD-9-CM code of 433 (occlusion and stenosis of precerebral arteries) because that code is used for asymptomatic carotid artery disease. We had a minimum of 365 days of follow-up claims for all Medicare beneficiaries, and we censored beneficiaries at the time of nonstroke death or at a maximum of 1000 days after the index hospitalization.",Y,Indirect,EMR,"After linking a maximum of 3 years of follow-up data and remov- ing all patient and provider identifi- ers, the QIO/PRO analysts sent the unidentified records to Washington University for inclusion into the NRAF data set.",Y,Indirect,,,
78,MELD Na (UNOS/OPTN),Liver transplant planning + Na.,1,Severity of liver disease (3 month survival rate),Patient surival was assessed as the interval from the day of hospitalization until death or last follow-up,Y,Indirect,In-person,Finally an additional 258 were excluded because of lack of follow-up to determine the 3-month survival.,Y,Indirect,,,
115,Wells' Criteria for Pulmonary Embolism,Risk of PE.,1,pulmonary embolism,"High-probability ventilation-perfusion lung scanning, abnormal sonography or pulmonary angiography, or venous thromboembolic event in follow-up  (pg 98)",Y,Hybrid,In-person/Telephone,"After 3 months, patients were followed up for development of thromboembolic events at a return appointment or by telephone contact.",Y,Hybrid,,,
589,PECARN Pediatric Head Injury/Trauma Algorithm,Clears peds head injury without imaging.,1,if patients have traumatic brain injury,"Death from TBI, neurosurgery, intubation for >24 hours, hospital admission of 2 nights or more, CT scan interpreted by paediatric radiologist, follow-up (Page 1162 Outcome Measures)

follow-up involved",Y,Direct,,,Y,Direct,,,
608,Canadian CT Head Injury/Trauma Rule,"Very sensitive, rules out imaging in many.",1,need for neurological intervention; clinically important brain injury on CT,"Need for neurological intervention: death within 7 days secondary to head injury, need for any of following procedures in 7 days: craniotomy, elevation of skull fracture, intracranial pressure monitoring, or intubation for head injury.

clinically important brain injury on CT: acute brain finding on CT and would require admission to hospital and neurological follow-up",Y,Direct,Telephone,all enrolled patients who did not have imaging underwent the structured 14 day telephone proxy outcoe easure administered by a registered nurse. Patients who could not be reached were excluded from the final analysis.,Y,DIrect,,,
696,Canadian C-Spine Rule,"More sens/spec, but more complex, than NEXUS.",1,detect acute C-spine injury,"plain radiography, computed tomography, structured follow-up telephone interview (Page 1841 - Main Outcome Measure)",Y,Direct,In-person,Patients who did not fulfill the criteria were recalled for clinical assessment and radiography. Patients who could not be reached were excluded from the final analysis.,Y,Direct,,,
801,CHA<sub>2</sub>DS<sub>2</sub>-VASc Score for Atrial Fibrillation Stroke Risk,Stroke risk in afib; better than CHADS₂.,1,risk stratification for stroke and thromboembolism in atrial fibrillation,follow-up was performed to assess mortality and incidence of major adverse events during 1 year (Page 265 Validation Cohort),Y,Hybrid,,A follow-up was performed to assess mortality and incidence of  major adverse events during 1 year. (only validation cohort tested because CDI was a refined version of original),Y,Hybrid,,,
807,HAS-BLED Score for Major Bleeding Risk,Bleeding risk with AFib anticoagulation.,1,assess risk of major bleeding in patients with atrial fibrillation,1 year follow-up assessment performed to determine survival and major adverse cardiovascular events. any bleeding requiring hospitalization and/or causing a decrease in hemoglobin level of >2 g/L and/or requiring blood transfusion that was not a hemorrhagic stroke (Pg 1094 materials and methods),Y,Hybrid,EMR,"A 1-year follow-up assessment was performed to determine survival and major adverse cardio-
vascular events, such as major bleeding. Medical records and/or medical information systems were used to populate the data set.",Y,Hybrid,,,
1099,GRACE ACS Risk and Mortality Calculator,Mortality in ACS admissions.,1,estimate cumulative six month risk of death and death or myocardial infarction after ACS presentation,"death and myocardial infarction in hospital or after discharge (Page 1091 Abstract and Page 1092 GRACE methods and design)

follow-up involved",Y,Indirect,EMR,"all-cause death or the composite measure of death or non-fatal myocardial infarction during admission to hospital or after discharge (presentation to six months)

Used the GRACE registry",Y,Indirect,,,
1247,Simplified PESI (Pulmonary Embolism Severity Index),Mortality from PE.,1,severity index for pulmonary embolism,"30 day mortality for outpatients with acute symptomatic PE (Page 1384 Study Design)

*follow-up involved",Y,Hybrid,Telephone and EMR,Mortality was assessed in the derivation cohort by using pa- tient or proxy interviews and/or by review of the hospital medi- cal records. Interviews were performed by telephone and ad- ministered by local study personnel.,Y,Hybrid,,,
