index,ref_authors_full,ref_authors_affils,pred,gt,query
229,Grant Waterer,"Departments of 1Infectious Diseases and 2Respiratory and Sleep Medicine, Austin Health, Heidelberg, VIC 3084, Australia. patrick.charles@austin.org.au",M,M,"https://www.google.com/search?q=Grant+Waterer+.homepage.Departments+of+1Infectious+Diseases+and+2Respiratory+and+Sleep+Medicine,+Austin+Health,+Heidelberg,+VIC+3084,+Australia.+patrick.charles@austin.org.au"
258,Brenda Sandmaier,"Fred Hutchinson Cancer Research Center, 1100 Fairview Ave N, D1-100, PO Box 19024, Seattle, WA 98109-1024, USA.",F,F,"https://www.google.com/search?q=Brenda+Sandmaier+.homepage.Fred+Hutchinson+Cancer+Research+Center,+1100+Fairview+Ave+N,+D1-100,+PO+Box+19024,+Seattle,+WA+98109-1024,+USA."
59,Timothy Sterling,"VA Connecticut Health Systems, West Haven, Connecticut, USA.",M,M,"https://www.google.com/search?q=Timothy+Sterling+.homepage.VA+Connecticut+Health+Systems,+West+Haven,+Connecticut,+USA."
107,Felicity Enders,"Division of Gastroenterology and Hepatology, Mayo Clinic College of Medicine, Rochester, MN 55905, USA. angulohernandez.paul@mayo.edu",F,F,"https://www.google.com/search?q=Felicity+Enders+.homepage.Division+of+Gastroenterology+and+Hepatology,+Mayo+Clinic+College+of+Medicine,+Rochester,+MN+55905,+USA.+angulohernandez.paul@mayo.edu"
207,Valentín Valdés,"Respiratory Department , Hospital Ramón y Cajal and Alcalá de Henares University, 28034 Madrid, Spain. djc_69_98@yahoo.com",M,X,"https://www.google.com/search?q=Valentín+Valdés+.homepage.Respiratory+Department+,+Hospital+Ramón+y+Cajal+and+Alcalá+de+Henares+University,+28034+Madrid,+Spain.+djc_69_98@yahoo.com"
275,Karen Sellers,"Division of Emergency Medicine, University of California-San Francisco, San Francisco, CA 94304, USA. quinnj@stanford.edu",xwx,X,"https://www.google.com/search?q=Karen+Sellers+.homepage.Division+of+Emergency+Medicine,+University+of+California-San+Francisco,+San+Francisco,+CA+94304,+USA.+quinnj@stanford.edu"
109,Philip Mease,"University of Otago, Wellington, New Zealand. will.taylor@otago.ac.nz",M,X,"https://www.google.com/search?q=Philip+Mease+.homepage.University+of+Otago,+Wellington,+New+Zealand.+will.taylor@otago.ac.nz"
63,Jennifer Mammen,"Julie R. Brahmer, Johns Hopkins Kimmel Cancer Center; Jennifer S. Mammen, Johns Hopkins University, Baltimore, MD; Christina Lacchetti, American Society of Clinical Oncology, Alexandria; Alexander Spira, Virginia Cancer Specialists and US Oncology Research, Fairfax, VA; Bryan J. Schneider, University of Michigan Health System, Ann Arbor, MI; Michael B. Atkins, Georgetown Lombardi Comprehensive Cancer Center; Cristina A. Reichner, Georgetown University; Laura D. Porter, Colon Cancer Alliance; Washington, DC; Kelly J. Brassil, Aung Naing, Loretta J. Nastoupil, Maria E. Suarez-Almazor, and Yinghong Wang, MD Anderson Cancer Center, Houston, TX; Jeffrey M. Caterino, The Ohio State University Wexner Medical Center, Columbus, OH; Ian Chau, The Royal Marsden Hospital and Institute of Cancer Research, London and Surrey, United Kingdom; Marc S. Ernstoff and Igor Puzanov, Roswell Park Cancer Institute, Buffalo; Bianca D. Santomasso and Jedd D. Wolchok, Memorial Sloan Kettering Cancer Center; Jeffrey S. Weber, New York University Langone Medical Center, New York, NY; Pamela Ginex, Oncology Nursing Society, Pittsburgh, PA; Jennifer M. Gardner, Seattle Cancer Care Alliance and University of Washington, Seattle, WA; Sigrun Hallmeyer, Oncology Specialists SC, Park Ridge, IL; Jennifer Holter Chakrabarty, University of Oklahoma, Stephenson Cancer Center, Oklahoma City, OK; Natasha B. Leighl, Princess Margaret Cancer Centre, Toronto, Ontario, Canada; David F. McDermott, Beth Israel Deaconess Medical Center; Carole Seigel, Massachusetts General Hospital Cancer Center, Boston, MA; John A. Thompson, Seattle Cancer Care Alliance, University of Washington, and the Fred Hutchinson Cancer Research Center, Seattle, WA; and Tanyanika Phillips, CHRISTUS St Frances Cabrini Cancer Center, Alexandria, LA.",F,F,"https://www.google.com/search?q=Jennifer+Mammen+.homepage.Julie+R.+Brahmer,+Johns+Hopkins+Kimmel+Cancer+Center;+Jennifer+S.+Mammen,+Johns+Hopkins+University,+Baltimore,+MD;+Christina+Lacchetti,+American+Society+of+Clinical+Oncology,+Alexandria;+Alexander+Spira,+Virginia+Cancer+Specialists+and+US+Oncology+Research,+Fairfax,+VA;+Bryan+J.+Schneider,+University+of+Michigan+Health+System,+Ann+Arbor,+MI;+Michael+B.+Atkins,+Georgetown+Lombardi+Comprehensive+Cancer+Center;+Cristina+A.+Reichner,+Georgetown+University;+Laura+D.+Porter,+Colon+Cancer+Alliance;+Washington,+DC;+Kelly+J.+Brassil,+Aung+Naing,+Loretta+J.+Nastoupil,+Maria+E.+Suarez-Almazor,+and+Yinghong+Wang,+MD+Anderson+Cancer+Center,+Houston,+TX;+Jeffrey+M.+Caterino,+The+Ohio+State+University+Wexner+Medical+Center,+Columbus,+OH;+Ian+Chau,+The+Royal+Marsden+Hospital+and+Institute+of+Cancer+Research,+London+and+Surrey,+United+Kingdom;+Marc+S.+Ernstoff+and+Igor+Puzanov,+Roswell+Park+Cancer+Institute,+Buffalo;+Bianca+D.+Santomasso+and+Jedd+D.+Wolchok,+Memorial+Sloan+Kettering+Cancer+Center;+Jeffrey+S.+Weber,+New+York+University+Langone+Medical+Center,+New+York,+NY;+Pamela+Ginex,+Oncology+Nursing+Society,+Pittsburgh,+PA;+Jennifer+M.+Gardner,+Seattle+Cancer+Care+Alliance+and+University+of+Washington,+Seattle,+WA;+Sigrun+Hallmeyer,+Oncology+Specialists+SC,+Park+Ridge,+IL;+Jennifer+Holter+Chakrabarty,+University+of+Oklahoma,+Stephenson+Cancer+Center,+Oklahoma+City,+OK;+Natasha+B.+Leighl,+Princess+Margaret+Cancer+Centre,+Toronto,+Ontario,+Canada;+David+F.+McDermott,+Beth+Israel+Deaconess+Medical+Center;+Carole+Seigel,+Massachusetts+General+Hospital+Cancer+Center,+Boston,+MA;+John+A.+Thompson,+Seattle+Cancer+Care+Alliance,+University+of+Washington,+and+the+Fred+Hutchinson+Cancer+Research+Center,+Seattle,+WA;+and+Tanyanika+Phillips,+CHRISTUS+St+Frances+Cabrini+Cancer+Center,+Alexandria,+LA."
151,Phyo Kyaw Myint,"Norwich Medical School, Faculty of Medicine and Health Sciences, University of East Anglia, Norwich, Norfolk, UK; Stroke Research Group, Norfolk and Norwich University Hospital, Norwich, Norfolk, UK; Clinical Gerontology Unit, University of Cambridge, Cambridge, Cambridgeshire, UK.",M,M,"https://www.google.com/search?q=Phyo+Kyaw+Myint+.homepage.Norwich+Medical+School,+Faculty+of+Medicine+and+Health+Sciences,+University+of+East+Anglia,+Norwich,+Norfolk,+UK;+Stroke+Research+Group,+Norfolk+and+Norwich+University+Hospital,+Norwich,+Norfolk,+UK;+Clinical+Gerontology+Unit,+University+of+Cambridge,+Cambridge,+Cambridgeshire,+UK."
161,Xiaoxi Zeng,"Renal Division, Department of Medicine, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts2Framingham Heart Study, National Heart, Lung, and Blood Institute, and Center for Population Studies, Framingham, Massachusetts.",F,X,"https://www.google.com/search?q=Xiaoxi+Zeng+.homepage.Renal+Division,+Department+of+Medicine,+Brigham+and+Women's+Hospital,+Harvard+Medical+School,+Boston,+Massachusetts2Framingham+Heart+Study,+National+Heart,+Lung,+and+Blood+Institute,+and+Center+for+Population+Studies,+Framingham,+Massachusetts."
